Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Liliaceae,Erythronium_japonicum,inflorescence solitary,,,,no,no,single,1,JR,Decne.,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_dens-canis,inflorescence solitary,,,,no,no,single,1,JR,L.,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_sibiricum,inflorescence solitary,,,,no,no,single,1,JR,(Fisch. & CAMey.) Krylov,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_rostratum,inflorescence solitary,,,,no,no,single,1,JR,Wolf ,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_americanum,inflorescence solitary,,,,no,no,single,1,JR,(Ker-Gawl),"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_umbilicatum,inflorescence solitary,,,,no,no,single,1,JR,Parks & Hardin,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_oregonum,inflorescence solitary,,,,no,no,single,1,JR,Applegate,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_caucasicum,inflorescence solitary,,,,no,no,single,1,JR,Woronow,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_albidum,inflorescence solitary,,,,no,no,single,1,JR,Nutt.,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
,,,Liliaceae,Erythronium_helenae,inflorescence solitary,,,,no,no,single,1,JR,Applegate ,"Mathew, Brian. ""A taxonomic and horticultural review of Erythronium L.(Liliaceae)."" Botanical Journal of the Linnean Society 109.4 (1992): 453-471.",,
