Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,,,Alstroemeria,Bomarea_cornigera,"Inflorescence laxiflorus, hypopodium of primary flowers 2 – 9 cm, epipodium 2 – 3 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_crinita,"Inflorescence an umbel, pedicels very long 10-12 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_dispar,"Inflorescence a pendent thyrse, hypopodium around 6–12 cm and epipodium around 3 cm of the primary flowers, bracts small 0,5–1,2 x 0,2–0,4 cm, the bracts of the secondary flowers are larger than the bracts of the primary flowers.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_obovata,"Inflorescence a thyrse, hypopodium of primary flowers 6–15 cm, epipodium 2–4 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_pardina,"Inflorescence a dense thyrse hypopodium 0,2 – 0,5 cm, epipodium 1,5 – 3 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_superba,"Inflorescence an umbel, pedicels 2–4 cm. Bracts of lowermost primary flowers, 2–4 x 0,5–1 cm wide, subsequent bracts smaller.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_uncifolia,"Inflorescence in strong specimens a thyrse, hypopodium of primary flowers 0,1–0,3 cm, epipodium 2–6 cm. In weaker specimens reduced to an umbel.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Herb,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_multipes,"Inflorescence dense, bracteose, hypopodium of primary flowers 0,5–2 cm, epipodium around 6–10 cm; bracts of lowermost primary flowers up to 10 x 3 cm, subsequent bracts conspicuous smaller, bracts of secondary flowers 0,3–1,5 x 0,2–0,6 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Benth,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_hartwegii,"Inflorescence an umbel, pedicels 2–3,5 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_parvifolia,"Inflorescence laxiflorous, hypopodium of primary flowers 2–6 cm, epipodium 1–4 cm.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_pumila,"Inflorescence an erect umbel with 1–2 flowers, pedicel 1,5–4 cm long, subtending leaves frondose, 1– 3 cm long and 0,5–1 cm wide",The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,Grisebach ex Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_boliviensis,"Inflorescence an erect thyrse, hypopodium of primary flowers 0,5–4 cm, pubescent or glabrous, epipodium 0,5–3 cm, pubescent or glabrous",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_endotrachys,"Inflorescence an umbel, pedicels 1–3 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,Kraenzl,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_angustissima,"Inflorescence a thyrse, hypopodium of primary flowers 8–12 cm, epipodium 2 – 3 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_nematocaulon,"Inflorescence lax, bracteose, hypopodium of primary flowers 1–3 cm, epipodium around 1 cm; bracts of primary flowers , 1–6 x 0,2–2 cm, bracts of secondary flowers 0,3–0,5 x 0,2–0,3 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_speciosa,"Inflorescence an erect laxiflorous thyrse, hypopodium of primary flowers 10–20 cm, epipodium 3–5 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_campylophylla,"Inflorescence a thyrse, hypopodium of primary flowers 8–12 cm, epipodium 2–3 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_dolichocarpa,"Inflorescence a very laxiflorus thyrse or an umbel, hypopodium of primary flowers 10–20 cm,
epipodium 2–4 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_ampayesana,"Inflorescence a pendulous thyrse, large flowers giving it a dense appearance, but hypopodium of primary flowers 2,5–3,5 cm, epipodium 2,5 –3,5 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Vargas,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_velascoana,"Inflorescence dense, hypopodium of primary flowers 0,5–1 cm, epipodium 1,5–3,5 cm",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Vargas,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_herrerae,"Inflorescence a thyrse, hypopodium of primary flowers 0,1–1 cm, epipodium 2–3 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Vargas,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_longistyla,"Inflorescence more or less laxiflorus, hypopodium of primary flowers 1–3 cm, epipodium 1–4 cm.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Vargas,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_vargasii,"Inflorescence erect and laxiflorous, hypopodium of primary flowers 2–8 cm, epipodium 0,5–3 cm.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Hofreiter,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_peruviana,"Inflorescence a laxiflorus thyrse, up to 25 flowers, but the secondary flowers are often not developed, hypopodium of primary flowers 0,5–3 cm, epipodium 5–7 cm.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Hofreiter,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_alstroemeroides,"Inflorescence an umbel, pedicels 2–4 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Hofreiter & E. Rodr,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_chaparensis,"Inflorescence a pendent umbel, pedicels 4–6 cm, pubescent with a bracteose prophyll.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Hofreiter,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_foertheriana,"Inflorescence an erect umbel with 2– 5 flowers, one-flowered examples are also relatively abundant.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Hofreiter,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_huanuco,Inflorescence an erect umbel with 2–4 flowers.,The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Hofreiter,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_amazonica,"Inflorescence a pendulous umbel, pedicels 3– 6 cm, pubescent",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,Hofreiter & E. Rodr,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_libertadensis,"Inflorescence more or less dense, hypopodium of primary flowers 0,3–0,6 cm, epipodium 1–2 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Hofreiter & E. Rodr,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_lopezii,"Inflorescence a thyrse, hypopodium of primary flowers 4–10 cm, epipodium 2–5 cm.",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,"Hofreiter & E. Rodr.,","Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_macusanii,"Inflorescence an umbel, pedicels around 2 cm, pubescent",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,"Hofreiter & E. Rodr.,","Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_pseudopurpurea,"Inflorescence an umbel, pedicels 1–3 cm, pubescent.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,"Hofreiter & E. Rodr.,","Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_weigendii,"Inflorescence an umbel, pedicels around 12 cm, close to the flowers pubescent with a bracteose prophyll.",The inflorescence is an umbel or a thyrse. ,,,yes,no,umbel,1,JR,"Hofreiter & E. Rodr.,","Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_campanularia,"Inflorescence in strong specimens a thyrse, hypopodium of primary flowers 0,1–0,3 cm, epipodium 2–4 cm",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Harl. & Neuendorf,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_tribrachiata,"Inflorescence a thyrse, hypopodium of primary flowers 3–8 cm, epipodium 2– 3 cm..",The inflorescence is an umbel or a thyrse. ,,,yes,no,,1,JR,Kraenzl,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_crassifolia,"Inflorescence seldom in strong specimens a thyrse, hypopodium of primary flowers 0,1–0,5 cm, epipodium 2–4 cm. In most specimens reduced to an umbel",The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_secundifolia,Inflorescence a pendulous umbel with 2–5 flowers.,The inflorescence is an umbel or a thyrse. ,,,no,no,umbel,1,JR,(Ruiz & Pav.) Baker,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Bomarea_porrecta,"Inflorescence more or less dense, hypopodium of primary flowers 0,3–0,6 cm, epipodium 1–2 cm. Subtending bracts of primary flowers frondose, 1,5–6 cm long and 0,3–0,6 cm wide, subtending bracts of secondary flowers frondose to bracteose, 0,3–1,5 cm long and 0,1–0,3 cm wide.",The inflorescence is an umbel or a thyrse. ,,,no,no,,1,JR,Killip,"Hofreiter, Anton, and E. Rodríguez. ""The Alstroemeriaceae in Peru and neighbouring areas."" Rev. peru. biol 13.1 (2006): 5-69.",,
,,,Alstroemeria,Alstroemeria_angustifolia,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Herbert,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_aurea,"usually one flowering shoot consisting of a leafy stem bearing a terminal umbelliform inflorescence composed of one to eight flowering cymes (see Bayer 1987 for a detailed morphological description of the genus). Each cyme is composed of one to four sympodially arranged flower buds (i.e., a monocasium) that open sequentially from base to tip.",the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Graham,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,"Aizen, Marcelo A., and Alicia Basilio. ""Within and among flower sex-phase distribution in Alstroemeria aurea (Alstroemeriaceae)."" Canadian Journal of Botany 73.12 (1995): 1986-1994."
,,,Alstroemeria,Alstroemeria_exserens,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Meyen,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_garaventae,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Bayer,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_ligtu,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,L.,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_pallida,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Graham,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_presliana,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Herbert,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_pseudospathulata,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Bayer,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_diluta,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Ruiz et Pavon,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_hookeri,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Loddiges,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_leporina,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Bayer et Grau,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_pelegrina,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,L.,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_magenta,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Bayer,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_philippii,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Baker,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_pulchra,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Sims,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_werdermannii,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Bayer,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_paupercula,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Philippi,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_polyphylla,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Philippi,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_revoluta,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Ruiz et Pavon,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_presliana,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Herbert,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_schizanthoids,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Grau,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_magnifica,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Herb.,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_inodora,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Herb.,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_brasiliensis,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Sprengel,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Alstroemeria_psittacina,,the inflorescences terminal and umbeliform and the flowers usually zygomorphic with patterned tepals.,,,no,no,umbel,1,JR,Lehm.,"Sanso, Andrea Mariel, M. Camargo de Assis, and Cecilia Carmen Xifreda. ""Alstroemeria: a charming genus."" V International Symposium on New Floricultural Crops 683. 2003.",,
,,,Alstroemeria,Drymophila_moorei,,"Inflorescence an axillary, monobrachial cincinnus or flowers borne singly.",,,no,no,single,1,JR,Baker,"Conran, J. G., and H. T. Clifford. ""Luzuriagaceae."" Flowering Plants· Monocotyledons. Springer, Berlin, Heidelberg, 1998. 365-369.",,Could only find this one species but according to the text there are two species
,,,Alstroemeria,Luzuriaga_marginata,,"Inflorescence an axillary, monobrachial cincinnus or flowers borne singly.",,,no,no,single,1,JR,(Gaertner) Bentham,"Conran, J. G., and H. T. Clifford. ""Luzuriagaceae."" Flowering Plants· Monocotyledons. Springer, Berlin, Heidelberg, 1998. 365-369.",,
,,,Alstroemeria,Luzuriaga_parviflora,,"Inflorescence an axillary, monobrachial cincinnus or flowers borne singly.",,,no,no,single,1,JR,(J. D. Hooker) Kunth,"Conran, J. G., and H. T. Clifford. ""Luzuriagaceae."" Flowering Plants· Monocotyledons. Springer, Berlin, Heidelberg, 1998. 365-369.",,
,,,Alstroemeria,Luzuriaga_polyphylla,,"Inflorescence an axillary, monobrachial cincinnus or flowers borne singly.",,,no,no,single,1,JR,(W. J. Hooker) Macbride,"Conran, J. G., and H. T. Clifford. ""Luzuriagaceae."" Flowering Plants· Monocotyledons. Springer, Berlin, Heidelberg, 1998. 365-369.",,
,,,Alstroemeria,Luzuriaga_radicans,,"Inflorescence an axillary, monobrachial cincinnus or flowers borne singly.",,,no,no,single,1,JR,Ruiz et Pavon,"Conran, J. G., and H. T. Clifford. ""Luzuriagaceae."" Flowering Plants· Monocotyledons. Springer, Berlin, Heidelberg, 1998. 365-369.",,
,,,Liliaceae,Calochortus_albus,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Dougl. ex Benth. ,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_coxii,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Smith,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_howellii,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Watson,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_obispoensis,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Lemm.,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_pulchellus,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Dougl. ex Benth.,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_tiburonensis,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Hill ,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
,,,Liliaceae,Calochortus_umpquaensis,,The inflorescence of Calochortus is a more or less reduced monochasium,,,no,no,cyme,1,JR,Forest,"Ownbey, Marion. ""A monograph of the genus Calochortus."" Annals of the Missouri Botanical Garden 27.4 (1940): 371-560.",,Should I call these cymes?
